Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E09000027 Richmond upon Thames,6.89271,7.53845,8.07809,9.55768,9.62007,9.59848,9.88496,10.7253,11.5938,11.0547,12.0115,12.4785,11.493,12.1891,13.6012,13.8014
E09000026 Redbridge,4.07303,4.60354,4.80954,5.46748,6.17305,6.78212,7.89194,9.47016,8.43167,8.90673,8.71451,8.87266,7.18766,8.11644,8.27788,8.64376
E09000025 Newham,2.7764,3.20038,3.64477,4.30927,4.85189,5.87189,7.23451,7.04736,7.47569,7.68075,8.25759,9.07151,6.50984,7.06838,7.23077,7.30269
E09000024 Merton,4.7122,5.23482,6.12384,7.2549,7.37114,8.46702,9.0774,9.50898,9.07824,9.88528,9.80004,11.4288,9.10629,10.1223,10.1058,9.88143
E09000023 Lewisham,3.26861,3.51215,3.62005,4.37661,5.20921,6.16296,6.54912,6.84323,6.64552,6.97856,7.91305,7.82034,6.91905,7.9055,8.03939,8.2564
E09000022 Lambeth,3.87553,4.2334,4.61705,6.33997,6.89971,7.26671,7.65233,7.89361,7.95263,8.19307,9.12456,9.0737,7.48163,8.89308,8.79126,9.07182
E09000021 Kingston upon Thames,4.82611,5.3458,6.20572,7.13666,7.62482,8.54199,8.88442,9.61199,10.0133,9.42287,10.7198,11.1119,9.25843,10.4872,10.4575,10.8336
E09000020 Kensington and Chelsea,11.6135,11.8791,12.6085,14.4295,14.778,15.3751,14.8744,17.2516,18.7483,20.2513,23.2604,24.833,22.5633,24.9446,27.0363,27.7848
E09000019 Islington,5.40365,6.21518,6.27934,7.41354,7.66741,7.30919,7.61872,8.39516,8.73217,8.93399,9.92224,10.4235,9.41808,11.0296,11.2772,11.3697
E09000018 Hounslow,3.80197,4.61627,5.00453,5.67851,5.92687,6.5093,7.43068,7.90502,8.03763,8.71996,8.67477,8.92057,7.45844,8.03244,7.7478,8.21261
E09000017 Hillingdon,3.53546,3.70545,4.15407,4.95432,5.33447,6.27664,7.13345,7.27418,7.48767,8.23866,7.95476,7.93834,6.95643,7.56951,7.6755,7.79443
E09000016 Havering,4.46428,4.97791,5.35437,6.2013,6.7882,8.27661,9.64838,9.70111,7.89098,7.80152,8.43839,7.81322,7.11035,7.77053,7.66024,7.61521
E09000015 Harrow,4.80203,4.91899,5.40086,6.5926,7.19316,8.17798,9.40894,9.59462,9.61766,9.41674,10.6297,10.2526,8.59723,10.5099,10.8538,11.0612
E09000014 Haringey,4.2133,4.97791,5.16041,6.51558,7.20574,7.58689,8.44711,9.07743,9.17318,9.1793,9.58056,10.3867,8.91557,9.60151,10.8811,10.9584
E09000013 Hammersmith and Fulham,5.63145,7.06773,7.08196,9.05889,9.03457,9.03326,9.37586,10.6686,10.5229,11.7671,12.3393,13.0253,11.3698,13.2506,12.9995,14.1378
E09000012 Hackney,3.34435,3.41657,4.30438,5.59226,6.34064,6.81599,7.42828,7.7876,7.54112,7.77718,8.969,8.57667,7.85356,8.68634,9.1144,9.44276
E09000011 Greenwich,3.33144,3.63328,4.09785,4.78645,5.65515,6.42657,6.70794,6.90183,7.3184,7.63392,7.08958,8.20931,7.55375,7.8453,8.34328,8.10812
E09000010 Enfield,4.25018,4.31199,4.67438,5.00768,5.24719,6.04028,7.70119,6.97863,8.41122,8.16248,9.29811,9.43988,8.38514,8.42887,8.85696,8.38423
E09000009 Ealing,4.4291,5.04867,5.49481,6.5486,6.9973,7.61975,8.72456,9.01929,9.03463,9.41901,9.51531,10.0566,8.82852,9.65268,10.0655,10.0065
E09000008 Croydon,3.74273,4.00596,4.24093,5.11017,5.69161,6.21662,7.45079,7.42749,8.16312,7.92039,8.34534,8.526,7.36418,7.61582,7.40958,7.61577
E09000007 Camden,6.64869,6.81517,7.46253,9.43394,9.20894,9.56635,9.50751,10.0182,10.4225,11.1313,12.5862,12.8893,11.7852,12.7356,13.4138,13.6952
E09000006 Bromley,5.71682,5.87313,6.5193,7.90684,9.3409,9.93783,10.7341,10.6044,9.27935,9.38675,9.94652,9.36887,8.7678,9.82448,9.63601,9.47718
E09000005 Brent,4.47565,4.9168,5.49214,6.34161,7.22261,8.46282,9.21735,9.92439,10.1059,9.58052,10.7447,10.9725,9.6922,9.94461,10.8424,11.4247
E09000004 Bexley,3.87955,4.17173,4.38932,4.87723,5.46293,6.29948,7.22777,8.69275,7.71226,7.67657,8.17822,7.58414,7.01642,7.63142,7.9255,7.43651
E09000003 Barnet,5.39373,6.1265,6.63382,7.98331,7.89312,9.21847,9.72629,9.8031,9.5844,9.7265,10.8097,10.3714,9.12778,10.6824,10.8778,11.2318
E09000002 Barking and Dagenham,2.99089,2.59947,3.03289,3.3898,4.029,4.21883,5.28367,5.74578,6.03119,6.25296,6.43719,7.2323,6.05289,6.22001,5.84846,5.04264
E09000001 London,4.71848,5.5464,5.37651,5.67527,6.7951,5.95909,7.73368,7.26879,6.89986,7.00019,8.80116,7.69737,7.76929,8.70111,8.99717,9.19483
E08000036 Wakefield,2.87535,2.90616,2.8969,2.76904,2.85099,3.20013,3.94371,4.83463,5.29484,5.22236,5.27881,5.33524,5.07055,5.06566,4.67736,4.88387
E08000035 Leeds,3.30286,3.33734,3.28938,3.35807,3.64226,4.05866,4.72116,5.67318,5.88907,6.07246,6.41413,5.90674,5.14026,5.68823,5.48578,5.59794
E08000035 West Yorkshire,3.30286,3.33734,3.28938,3.35807,3.64226,4.05866,4.72116,5.67318,5.88907,6.07246,6.41413,5.90674,5.14026,5.68823,5.48578,5.59794
E08000034 Kirklees,2.95135,2.91021,2.99434,2.99079,3.01538,3.26295,3.79191,5.0476,5.33199,5.82079,6.14844,5.69994,5.20787,5.32711,5.42196,5.3236
E08000033 Calderdale,2.75616,2.8356,2.66591,2.65939,2.59695,2.73035,3.29913,4.33905,4.82571,5.38341,5.67986,5.69209,4.63023,5.24889,5.07867,4.60937
E08000032 Bradford,2.98313,2.82114,2.74657,2.91008,2.89851,3.05148,3.40238,4.50114,5.00577,5.69999,5.94725,5.66965,5.20664,5.33843,5.23954,4.91188
E08000031 Wolverhampton,2.89328,2.78493,2.7822,2.87446,2.88195,3.12149,4.04858,4.66122,5.27564,5.28998,5.32584,5.23891,4.79981,4.44007,4.88144,4.55835
E08000030 Walsall,3.2874,3.35722,3.16727,3.45315,3.3776,4.20511,4.77718,5.43376,6.18907,6.06646,6.25547,6.09816,5.88207,5.42755,5.34384,5.11976
E08000029 Solihull,4.10145,4.05516,4.35232,5.17576,5.67506,5.79198,6.79234,7.25205,7.32366,7.93679,7.81929,6.90826,6.56187,7.80801,7.45428,7.26496
E08000028 Sandwell,2.93476,2.85099,2.83651,2.76593,3.06033,3.36227,4.12833,5.00412,5.07111,5.42445,5.45751,5.07871,4.58074,4.95341,4.65617,4.78578
