Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E07000197 Stafford,3.8535,3.57807,3.54392,3.8844,3.66257,4.49795,5.56689,6.64008,6.49128,6.66994,6.95056,7.0334,6.00406,6.23377,5.89158,6.16334
E07000196 South Staffordshire,4.11296,4.00005,4.10209,4.56295,4.80674,6.13904,6.61029,6.01941,7.20177,7.44959,8.45098,7.389,6.20895,7.10035,6.95285,7.52621
E07000195 Newcastle-under-Lyme,3.4783,2.83402,3.20616,3.21166,3.35339,3.5826,4.17588,5.12545,5.59381,6.14228,6.02885,5.70114,5.60807,5.93416,5.78823,5.90199
E07000194 Lichfield,4.06277,4.01042,4.21393,4.9388,5.3192,5.67373,6.97688,7.21693,8.61839,7.97211,8.93797,7.74918,6.86771,7.9367,7.68306,7.96144
E07000193 East Staffordshire,3.08048,3.32793,3.32787,3.38903,3.44345,3.73507,4.5837,5.44626,6.04929,6.00983,6.53246,5.69193,5.73389,5.60028,5.43202,5.05098
E07000192 Cannock Chase,3.04358,3.04578,3.17333,2.96802,3.44998,4.24003,4.68851,5.7639,6.5345,6.24944,6.01642,5.95567,5.60942,5.17686,5.39554,5.72364
E07000191 West Somerset,,,,,,,,,,7.67938,,,,6.26936,,
E07000190 Taunton Deane,4.01378,3.96687,4.13252,4.78973,4.82387,5.7608,6.99372,7.59509,7.98499,7.59196,8.12729,8.063,6.93773,7.53243,7.52609,7.67451
E07000189 South Somerset,3.34068,3.64977,3.70685,4.30888,4.75745,5.23347,6.45147,7.38422,7.60362,7.47342,7.97781,8.04013,7.27114,7.73366,7.06938,6.99597
E07000188 Sedgemoor,3.74472,3.96748,3.87171,4.57616,4.70998,5.62236,6.49755,8.0806,7.8933,7.12383,8.16357,8.40147,7.07729,8.02309,7.52165,7.26392
E07000187 Mendip,3.82639,3.83555,4.26649,5.17454,5.17729,6.39607,7.27502,8.33961,7.93503,7.70897,8.42925,8.68587,8.08801,7.66428,7.59466,8.54336
E07000181 West Oxfordshire,4.89028,4.86695,5.49965,6.38412,6.13691,6.91312,7.95873,8.33443,8.89945,9.28835,9.77582,9.48802,8.03217,8.88913,8.87997,9.03935
E07000180 Vale of White Horse,4.24356,4.73493,4.97662,5.6859,5.89707,6.98431,7.41406,7.5834,8.23781,8.14742,8.4147,8.71694,7.02258,8.09853,6.95893,7.57626
E07000179 South Oxfordshire,5.18161,5.02361,5.86753,6.61738,7.17325,6.83011,8.02438,8.97299,9.12998,9.59486,9.87477,10.5884,10.1765,11.4006,9.80405,10.6449
E07000178 Oxford,4.75068,5.56164,5.81079,6.8086,7.26795,7.73898,8.89879,9.35913,9.02095,9.17869,9.31552,9.60649,8.3658,9.22928,9.09784,9.39288
E07000177 Cherwell,3.92507,3.9454,4.86655,4.81678,6.89986,6.22861,7.42828,7.49393,8.42735,8.4221,8.16422,8.37607,7.0583,8.03379,7.58312,7.97071
E07000176 Rushcliffe,4.22668,4.12564,4.2635,4.79755,5.24195,5.43332,6.6008,7.5003,7.30419,7.73474,8.79659,7.61244,7.32526,7.36929,7.81739,7.73766
E07000175 Newark and Sherwood,3.31609,3.57278,3.36503,3.89664,3.75755,4.35956,5.65389,7.43215,6.59112,6.53114,6.59576,6.64972,5.93704,6.65922,5.90701,6.2383
E07000174 Mansfield,3.01454,3.0852,3.06298,3.00296,2.99332,3.28735,3.68107,5.12548,5.42351,5.37294,5.28514,5.49139,4.85879,5.3972,5.25329,4.81452
E07000173 Gedling,2.92839,3.13941,3.31585,3.37571,3.54937,4.28974,5.4299,5.55233,5.5063,5.83068,5.44496,5.1133,5.18757,5.69381,6.09262,4.86825
E07000172 Broxtowe,3.04709,3.16801,2.93042,3.32986,3.66662,4.33863,4.79004,6.01177,5.96557,6.05162,6.105,5.71813,5.41383,5.77927,5.73775,5.77179
E07000171 Bassetlaw,2.82289,2.85229,3.13488,3.36566,3.37804,3.82446,4.21971,5.66851,6.22924,5.76245,5.67011,5.93245,5.25187,5.34298,5.46602,4.7258
E07000170 Ashfield,2.73278,3.04655,2.88648,3.14691,2.96508,3.22053,3.99224,4.84922,4.99087,5.14158,5.63817,4.99994,4.17783,4.32323,4.75092,4.69434
E07000169 Selby,3.4401,3.49531,3.36126,3.50217,3.51901,4.07765,5.31427,6.1208,6.72927,7.22414,6.88317,5.92961,5.66923,5.52458,6.25203,5.93415
E07000168 Scarborough,4.08617,3.8102,3.68827,3.66809,3.98854,3.99508,4.9868,6.65261,7.21456,7.99264,7.5097,7.1723,6.18646,6.30646,6.30078,6.29668
E07000167 Ryedale,4.9131,4.2763,4.354,4.60868,5.39764,5.9157,7.14983,9.19241,10.3413,10.162,9.52953,9.68346,7.58218,8.55498,8.61967,8.2312
E07000166 Richmondshire,4.32164,4.66388,4.60209,5.13782,5.37461,5.30955,7.03855,8.53546,8.95532,8.67861,8.69886,8.31852,8.15828,10.1913,7.85979,7.55352
E07000165 Harrogate,4.46316,4.43194,4.87593,5.41632,5.55677,6.30855,7.92879,8.73963,9.12152,9.129,9.65749,9.8987,8.05799,9.44499,9.0077,8.76805
E07000164 Hambleton,4.87185,4.77797,4.47264,4.54856,5.31376,6.38246,6.96689,8.52112,9.16391,9.34371,9.11277,8.32601,7.44142,8.56129,7.85098,8.51493
E07000163 Craven,4.77929,4.45282,4.69047,4.55352,4.7803,4.79663,5.96474,7.11319,8.34091,9.95441,8.38048,8.40985,6.63702,9.02375,7.76868,7.4019
E07000156 Wellingborough,2.8447,2.88333,2.8588,3.42101,3.56455,4.40327,4.5321,5.60949,6.33414,6.42622,6.66939,6.67081,5.91516,6.04866,5.82583,6.02314
E07000155 South Northamptonshire,4.90082,5.20648,4.79682,6.08838,6.38998,6.62969,7.35399,7.57936,7.65892,7.79535,8.1702,7.87551,7.57413,8.75596,8.42241,8.32024
E07000154 Northampton,3.10414,3.3499,3.17709,3.62624,4.1538,4.47406,5.22245,6.09572,6.08786,6.2419,6.09412,5.91944,5.1353,5.59394,5.59389,5.61904
E07000153 Kettering,2.75447,2.74602,3.15221,3.30725,3.70899,4.31074,5.25295,6.39542,6.57054,6.61211,6.90695,6.3529,5.87189,5.69883,5.64441,5.82385
E07000152 East Northamptonshire,3.07443,3.43986,3.76938,3.53463,4.19594,4.77514,6.31143,6.94356,7.09584,7.07741,7.03553,7.59736,6.58044,6.99693,7.19667,6.23216
E07000151 Daventry,3.27335,4.35123,4.52892,4.80298,5.30914,6.07568,6.69207,6.83803,7.23454,7.71953,8.47196,8.11959,7.05149,7.3637,6.53262,6.92635
E07000150 Corby,2.38016,2.56767,2.47508,2.78993,2.44267,2.87998,3.73002,4.67945,5.95136,5.4214,5.93122,6.03926,5.4996,5.53425,5.7202,5.29517
E07000149 South Norfolk,3.74367,3.7572,3.4904,3.69068,4.30715,5.48842,6.96088,6.91044,6.63291,7.62294,8.62768,7.32108,6.4382,7.23885,6.71834,6.58434
E07000148 Norwich,2.64953,2.77841,2.84338,3.31302,3.64808,4.64388,5.7978,6.42362,6.50348,6.28894,7.21012,6.9388,5.26955,5.95951,5.67041,5.81511
E07000147 North Norfolk,4.00795,4.09302,4.28746,4.75212,5.09147,5.54031,6.9404,7.96598,8.91652,9.48476,9.6178,10.0525,7.76892,9.1431,7.53806,8.19512
E07000146 King's Lynn and West Norfolk,3.09504,3.2483,3.23931,3.63102,4.00397,4.86287,6.11534,7.10605,7.32451,7.15294,7.11906,6.70103,6.36895,6.87684,5.70966,5.98655
E07000145 Great Yarmouth,2.79733,2.77153,2.55237,2.91852,3.16441,3.58677,4.51767,5.78019,5.66216,5.58821,5.79326,5.66624,5.35275,5.48414,5.33634,4.9956
E07000144 Broadland,4.00312,3.98854,3.76925,4.72349,5.00032,6.44203,7.08772,7.18747,8.33689,8.19865,8.80473,8.46919,6.88615,7.65338,7.26453,7.20265
E07000143 Breckland,3.32419,3.5211,3.44919,3.75899,4.20007,5.19048,6.44886,7.10209,7.10184,8.37231,8.31001,7.71874,7.03524,7.33741,6.71878,6.81333
E07000142 West Lindsey,3.93077,3.45434,3.41884,3.26237,3.81994,4.13632,4.40858,6.29391,5.90338,6.28319,7.0527,6.70138,6.06486,6.2546,6.12679,5.71081
E07000141 South Kesteven,3.60737,3.8554,3.98026,4.37734,4.54493,5.3286,6.66053,7.65927,8.46509,7.6701,8.13151,7.24,6.49195,6.96557,7.15644,7.14339
E07000140 South Holland,3.41477,3.41762,3.36386,4.17777,4.06205,4.71311,5.40145,6.85422,7.42324,6.82837,7.01215,6.64272,6.2647,6.04399,5.95754,6.19647
E07000139 North Kesteven,3.49561,3.47535,3.53863,3.95996,4.24506,5.25737,6.69696,7.24914,7.5644,7.54126,7.52821,7.87257,7.04964,6.71329,6.69907,6.62029
E07000138 Lincoln,2.44739,2.59756,2.45181,2.57774,2.59347,3.14175,4.03115,5.32075,5.34676,5.51406,5.82529,5.52172,4.88793,4.5741,5.07233,4.81028
E07000137 East Lindsey,3.39434,3.40989,3.29521,3.82889,3.82661,4.33408,5.64568,7.25225,7.74944,7.10593,8.12648,7.36117,6.20703,6.51377,6.34278,6.19824
E07000136 Boston,2.95379,2.8671,2.57353,2.97901,3.31808,3.91727,4.90894,6.30238,6.06962,6.01613,6.40027,6.31584,5.29673,5.6506,5.58214,5.68271
E07000135 Oadby and Wigston,3.50578,3.8291,3.42639,4.03246,4.10887,4.82244,5.91829,6.55591,7.71743,6.98367,7.3858,7.11352,6.44343,6.80735,7.35793,6.71647
E07000134 North West Leicestershire,3.26682,3.13996,3.45315,3.68811,4.27154,4.6556,5.7288,6.2719,7.31032,6.25471,7.39131,5.94526,5.92264,6.08411,5.50027,5.67187
E07000133 Melton,3.15268,3.73228,4.41276,3.91413,4.48732,5.00073,6.00939,6.28753,7.16919,7.41104,7.61777,7.79909,6.96279,7.42354,6.78916,7.22695
E07000132 Hinckley and Bosworth,3.51566,3.41787,3.8074,3.90508,4.0864,4.58234,5.86975,6.42542,6.72623,6.69498,6.72367,6.26467,6.00226,6.17502,5.90129,5.70271
E07000131 Harborough,3.87171,4.39761,4.72692,5.39105,5.69064,5.99069,7.62734,8.3923,8.22138,8.74828,8.68286,8.09733,7.2838,8.3655,7.69457,7.72612
E07000130 Charnwood,3.12632,3.20083,3.3424,3.44756,3.47692,4.15784,5.31358,6.33358,6.26631,6.185,6.517,6.15494,5.35784,6.06385,6.11392,6.19772
E07000129 Blaby,3.12958,3.2594,3.5749,3.60083,3.90388,4.48509,5.64787,6.01411,6.05297,6.41111,6.51454,6.49169,5.85405,5.65259,5.96021,6.23995
E07000128 Wyre,3.72845,3.86448,3.3824,4.10629,3.97073,4.69729,5.18607,6.4007,7.26885,7.76931,7.52551,6.29391,6.87444,7.04711,6.74274,6.28328
E07000127 West Lancashire,3.39885,3.54283,3.78035,3.78874,4.00382,4.46657,5.49814,6.22499,6.24746,7.02957,7.32984,7.19778,6.22104,7.04918,6.5859,6.52818
E07000126 South Ribble,2.98173,3.09205,3.33921,3.01269,3.45747,3.57994,4.29185,5.88097,6.11896,6.27369,6.00648,5.75644,6.02672,6.26891,5.96608,6.12923
E07000125 Rossendale,2.81937,3.16108,3.36227,3.02973,3.10073,3.073,3.67539,4.79851,5.59174,5.71065,6.11173,6.64243,5.19041,5.18911,5.68585,5.25329
E07000124 Ribble Valley,3.59943,3.66021,3.40501,4.62784,4.32686,4.17056,6.24636,8.6764,7.32843,7.85374,7.58382,7.43874,7.34817,7.13997,6.70237,6.80744
E07000123 Preston,2.9846,2.86044,3.04302,2.81253,3.06289,3.38032,3.42231,4.7964,5.66421,5.63955,5.81038,5.40111,4.93576,4.63852,4.70498,5.25067
E07000122 Pendle,2.03255,2.19252,2.23988,2.0329,2.19104,2.0873,2.28727,2.78971,3.00887,3.76472,4.36239,4.22186,4.00626,3.84885,4.39934,3.54251
E07000121 Lancaster,2.69068,2.84804,2.81924,2.93716,2.83536,2.86948,3.63317,4.71269,5.37722,5.60135,5.73537,5.68106,4.66757,5.39168,4.95855,5.40497
E07000120 Hyndburn,2.34578,2.06283,2.35296,2.43566,2.45067,1.9941,2.06681,3.37695,3.68149,4.61819,4.5388,4.66953,4.03115,3.74173,3.86115,3.80435
E07000119 Fylde,2.98827,2.92425,3.16212,3.08891,3.35599,3.52343,4.44381,5.64499,6.06287,6.58723,6.34121,5.62069,5.31894,5.54869,5.0585,6.23807
E07000118 Chorley,3.53146,3.59261,3.29628,3.61717,3.48269,4.18571,4.97217,6.19591,6.8023,6.30965,6.20982,6.43141,5.83281,6.32625,6.2213,6.25488
E07000117 Burnley,2.01245,2.13741,2.0065,2.06011,1.93704,1.79356,1.84624,1.88314,2.39496,2.93847,3.75187,3.71958,3.582,3.48687,3.5351,3.38308
E07000116 Tunbridge Wells,4.62326,5.43259,5.6669,6.48001,7.10014,7.95887,8.7567,9.23725,10.1437,9.9518,9.3144,9.61077,8.60417,9.91975,9.01973,8.46631
E07000115 Tonbridge and Malling,4.31496,4.87621,5.17829,6.21063,6.61032,7.36383,7.58059,8.61468,9.08938,9.40176,9.84429,9.03321,7.58107,8.70645,9.35066,8.36739
E07000114 Thanet,3.42231,3.47482,3.53005,3.87971,4.35699,4.59009,6.4572,6.6961,7.77258,7.60197,7.62257,8.24138,7.28545,8.28083,7.25762,7.49998
E07000113 Swale,3.12152,3.24209,3.64786,4.28682,4.2848,4.86544,5.66206,6.54528,6.58479,6.54541,6.51392,7.03876,5.8466,6.34976,6.56162,7.04165
E07000112 Shepway,3.86924,3.9758,4.18994,4.5094,4.73179,5.62311,6.61408,7.80423,7.90359,8.65066,8.7044,7.63243,6.95958,7.63206,7.21107,7.06077
E07000111 Sevenoaks,5.92482,5.79393,6.22055,7.22499,7.37303,8.04318,8.9953,9.3751,10.8562,10.3708,9.80048,9.28528,9.1159,9.24414,10.0968,10.6119
E07000110 Maidstone,4.62147,4.88808,4.81165,5.52679,6.1933,6.29004,7.93704,8.4951,9.04719,9.50965,9.17784,8.46814,7.53487,7.99045,8.0509,8.17481
E07000109 Gravesham,3.39704,3.98548,3.7868,4.28092,5.21211,5.36749,6.25535,6.92534,6.7768,7.26623,6.30378,6.62218,6.40672,6.41233,5.61065,6.3871
E07000108 Dover,3.09489,3.2307,3.28609,3.63418,3.84442,4.15894,5.11652,6.22838,5.85395,6.02672,7.0771,7.0481,5.38465,6.21749,5.77304,5.94351
E07000107 Dartford,3.42333,3.44281,3.88479,4.9024,4.86941,5.43621,6.80274,7.29572,7.24598,6.17428,6.87548,6.82973,5.65829,6.47674,6.18005,6.68186
E07000106 Canterbury,4.17083,4.42167,4.76838,5.28582,5.66737,6.83649,7.37246,8.01684,8.65452,8.77876,9.07252,8.97802,7.1292,8.13843,7.44781,8.33214
E07000105 Ashford,3.76567,4.07581,4.23715,5.42008,5.65793,5.79869,6.63976,7.30304,7.66871,9.15584,8.69263,8.80658,7.32753,7.96017,7.30446,7.29235
E07000104 Welwyn Hatfield,4.22115,4.49567,4.50249,5.12942,5.27219,5.69455,6.96625,7.84484,6.89206,8.01795,7.42723,7.92086,7.43542,7.68302,9.13154,8.0028
E07000103 Watford,3.16166,3.69553,3.94573,4.6842,5.05373,6.13015,7.40146,7.68844,7.29017,7.59879,9.48542,8.67749,7.46711,8.08429,8.62993,8.06757
E07000102 Three Rivers,5.06717,4.98977,5.16172,6.39457,6.4601,6.47008,6.55866,7.81803,7.52551,7.40532,8.22792,8.65413,8.07269,9.01782,9.53722,9.74984
E07000101 Stevenage,3.28811,2.89214,3.11977,3.96175,3.93831,4.87664,5.08081,6.04127,6.11183,5.61389,6.515,6.59057,5.85087,5.97231,5.64575,5.30428
E07000100 St Albans,5.81014,6.65642,6.65983,8.69127,8.87505,9.30463,10.3709,10.7477,10.9864,11.3167,12.4346,12.0273,10.7845,12.0534,13.386,13.1815
E07000099 North Hertfordshire,3.94169,4.21769,4.51319,5.42562,5.70952,6.15217,7.46662,7.66598,7.59134,8.2809,8.6401,8.18201,7.2963,7.9194,8.733,8.65887
E07000098 Hertsmere,5.01045,5.22003,5.73944,6.3915,6.95711,7.36126,9.89132,9.04407,10.1965,10.2945,10.4008,10.4824,9.04501,8.94961,10.3656,9.74235
E07000097 East Hertfordshire,4.90492,4.94667,5.22038,6.19343,5.92776,6.83934,7.93148,8.51183,8.72683,9.57831,10.2074,9.96701,8.30584,9.53169,9.52911,9.24593
E07000096 Dacorum,4.2788,4.72018,4.99669,5.85556,5.77387,6.02333,7.18636,7.78355,8.1221,8.02218,8.17624,8.86589,8.37729,8.77344,8.50461,8.80289
E07000095 Broxbourne,4.08108,4.8939,4.93525,6.17332,6.63585,7.5409,8.19173,8.63076,8.39212,8.64484,9.65738,8.91017,8.30987,8.52292,8.09735,9.10013
E07000094 Winchester,5.44115,6.4285,5.90647,7.55769,7.75851,8.11531,9.18649,9.95535,10.4134,9.83986,9.20541,10.4536,9.03138,10.2843,10.9849,9.36133
E07000093 Test Valley,4.9276,5.23226,5.49641,6.49001,6.65735,7.20004,7.85333,8.48649,8.073,8.96778,9.64708,9.78393,7.87969,9.26922,8.2466,8.46704
E07000092 Rushmoor,3.46048,3.64908,3.88573,4.829,4.56214,4.82517,5.68965,5.8129,6.43653,5.79803,5.89068,5.90198,5.29013,5.7373,5.93543,5.71869
E07000091 New Forest,4.85346,4.85481,5.1677,6.09842,6.85602,7.57387,9.41248,10.1353,9.92268,10.6976,10.513,10.4536,8.96923,10.0792,9.75546,9.51432
E07000090 Havant,4.01149,4.37967,4.46628,5.11065,5.26629,6.62043,6.91163,8.0726,7.72093,7.99107,8.38977,8.30526,6.88004,7.82373,6.7641,6.71499
E07000089 Hart,4.84938,5.74297,5.39029,5.88604,6.83368,6.7835,8.31993,8.82075,8.9971,8.21705,8.70239,8.60256,8.38401,8.55464,9.05056,9.08997
E07000088 Gosport,3.45777,3.31184,3.59905,4.05579,4.53122,4.77061,5.87699,6.19943,6.5195,6.30573,6.43164,6.71637,5.7829,6.28523,5.07417,6.36163
E07000087 Fareham,4.80449,4.49486,5.20234,5.49552,5.39058,6.85824,7.95279,8.59002,8.0525,8.98656,9.24926,8.478,7.89624,8.46678,7.76825,8.04178
E07000086 Eastleigh,4.16355,4.45387,4.62338,5.51326,6.17233,6.96713,7.81611,8.37991,8.34148,8.29555,8.89868,9.15989,7.53001,7.69123,7.76469,7.78114
E07000085 East Hampshire,4.84794,5.21641,6.07378,6.4572,7.13429,7.18061,9.40168,9.83198,10.723,9.90727,10.8815,11.6169,9.26657,11.0311,9.98591,9.99633
E07000084 Basingstoke and Deane,3.78081,4.26191,4.47779,5.74997,5.33548,5.60413,6.66713,6.80681,6.99589,6.89334,7.51923,7.25275,6.50272,7.36035,7.25814,7.75196
E07000083 Tewkesbury,3.83358,4.05167,3.93087,4.31089,5.21805,5.21897,6.24847,7.56083,7.04307,7.57438,7.78525,7.63704,6.46269,6.91269,7.28123,7.40526
E07000082 Stroud,3.58294,3.75293,4.31828,4.61116,5.27987,5.54439,7.02013,7.70709,7.55554,8.2382,8.89933,7.96268,7.41678,7.3085,7.65109,7.17681
E07000081 Gloucester,3.06858,3.18932,3.3233,3.40999,3.82252,4.46429,5.49009,5.87592,6.30087,5.99984,6.48786,6.12362,5.45147,5.72383,5.19019,5.34374
E07000080 Forest of Dean,3.57746,3.81603,3.91189,3.84949,4.49829,5.13896,6.24944,7.1302,7.99998,7.54155,8.10214,9.34753,6.98,7.80904,7.49468,7.52551
E07000079 Cotswold,5.46468,6.12103,6.34601,7.78052,7.19879,8.6183,11.0117,9.85737,11.2232,11.9233,11.1298,12.3965,11.6534,12.9908,11.5747,12.0692
E07000078 Cheltenham,3.80999,4.01959,4.19321,4.87796,5.26428,5.88504,6.22961,7.43301,7.50091,7.75592,7.47999,7.34479,6.04168,7.82633,7.55622,7.11173
E07000077 Uttlesford,5.3873,5.3236,5.39077,7.50129,7.08065,8.50457,9.02504,10.1141,10.0164,10.3365,10.6451,10.2026,9.65586,10.3668,10.0517,10.342
E07000076 Tendring,3.25618,3.2806,3.47125,4.4312,5.15649,5.18661,6.22239,7.26338,7.86093,8.10718,9.13672,8.91876,6.70103,7.06371,7.2503,7.00986
E07000075 Rochford,4.46379,4.82663,4.59751,5.31104,6.1698,7.23178,8.69478,9.06587,9.44786,8.66567,9.15348,10.0142,7.58507,9.2537,8.9341,9.08551
E07000074 Maldon,4.15407,4.66509,4.58765,5.21143,4.56412,6.01729,6.88396,7.68336,8.93341,9.2562,8.687,10.2939,7.12034,7.70613,8.59966,7.87601
E07000073 Harlow,3.23203,3.67438,3.38525,3.81057,3.99168,4.96728,5.39323,6.01534,6.37051,6.31989,5.39377,5.17972,4.99261,6.47567,6.22058,6.33737
E07000072 Epping Forest,5.64776,5.89259,6.35421,6.56947,7.29927,8.58283,10.3678,9.36745,9.80632,9.83951,10.19,9.81263,8.81271,10.4056,10.1453,10.489
E07000071 Colchester,3.68187,3.82966,3.87549,4.38318,4.56186,5.81397,6.77163,7.70337,7.71273,7.48316,8.04983,7.78844,6.32709,6.80298,7.13458,7.0517
E07000070 Chelmsford,3.62234,3.99385,4.38835,4.55842,5.64268,6.16648,8.17142,8.71112,8.20861,8.6669,9.23688,8.77623,7.22488,8.1604,8.21089,8.0315
E07000069 Castle Point,4.26038,3.77365,4.48213,4.92003,5.04062,7.78121,8.84384,9.58673,8.65663,8.42104,9.32194,,8.70004,9.42376,9.75727,9.18674
E07000068 Brentwood,5.26643,5.11619,5.33782,6.97415,6.8985,6.49963,7.89734,8.62603,9.17915,9.29483,10.0067,10.1079,9.1376,10.5131,8.59966,9.59492
E07000067 Braintree,4.19671,4.56227,4.6839,5.19127,5.31212,6.07322,7.51308,7.71315,7.04123,7.71713,7.89551,8.535,6.87224,7.40547,7.3996,7.28706
E07000066 Basildon,3.38241,3.62223,3.52944,3.54195,3.71821,5.00747,5.34118,6.10479,6.36049,6.59435,6.53629,7.226,6.5213,7.36807,6.45968,6.48638
E07000065 Wealden,5.15002,5.63351,5.67046,6.47266,7.01711,7.8956,9.22406,9.24474,11.2028,10.0616,9.95437,10.5808,9.42098,10.0778,9.80026,9.66282
E07000064 Rother,5.93567,5.30675,5.42601,6.464,5.71195,6.89102,8.83046,9.55437,10.6376,9.95681,11.1521,10.4827,8.7788,10.5886,9.70206,9.62501
E07000063 Lewes,3.80501,4.26914,4.64077,5.02115,5.97158,6.88217,7.87871,8.44698,8.70418,8.52733,9.4151,10.3132,7.80691,9.18382,9.28365,8.86978
E07000062 Hastings,3.37808,3.00639,3.47361,3.70576,4.19253,5.35046,5.76672,6.71606,6.83524,6.96251,7.18812,7.37114,6.55212,6.79987,6.36005,6.56683
E07000061 Eastbourne,3.28855,3.3403,3.48982,4.79574,4.7438,5.6698,7.27583,7.20013,7.82727,7.41391,7.40483,7.51408,6.36572,7.12832,7.21417,6.71346
E07000053 Weymouth and Portland,3.70772,4.03362,4.03439,4.97204,4.79695,5.7422,8.8066,8.98937,8.41129,9.3867,10.641,10.757,8.32407,9.01708,8.56814,7.88501
E07000052 West Dorset,4.92286,5.55305,5.5693,6.17018,6.70307,7.88023,9.40512,10.1418,10.039,10.4053,11.1905,9.86071,9.08507,10.0432,9.65595,9.52533
E07000051 Purbeck,4.68581,4.69869,4.49521,5.16929,6.55835,6.72113,8.02268,10.5899,9.68048,9.97161,9.57609,9.80145,7.69451,9.30141,9.03818,9.34321
E07000050 North Dorset,5.31629,4.62552,5.39465,5.70753,6.16709,7.60087,8.82947,9.92629,9.58511,9.87349,9.95065,11.1304,9.42619,10.609,9.96132,9.92552
E07000049 East Dorset,5.63489,6.11253,6.15876,7.64559,7.94128,8.8005,9.9627,10.3273,10.9311,11.0967,11.9023,12.4323,10.7067,10.9539,11.2709,11.2231
E07000048 Christchurch,4.09803,4.05835,5.69595,6.68479,7.57812,8.37904,8.90521,9.5669,10.2062,10.5919,10.8351,10.4772,9.04007,10.4635,9.79186,9.94578
E07000047 West Devon,4.80124,4.67257,4.83964,5.45659,5.77776,7.19585,,9.08278,10.6635,10.1632,11.2348,12.3565,10.0956,10.3597,8.79799,9.3168
E07000046 Torridge,4.33071,4.64404,5.24269,5.00499,6.52993,6.83505,8.06371,10.1851,11.0344,11.2233,11.0856,10.1164,9.87884,10.3064,9.93062,9.65142
E07000045 Teignbridge,4.76938,5.04743,4.86244,5.17124,5.54127,6.78353,7.99689,9.13672,9.3494,8.80539,10.1385,9.03335,8.04478,8.96848,8.63901,9.29412
E07000044 South Hams,4.91974,5.30626,5.42577,5.60166,6.84463,7.75328,9.87623,10.9833,11.8672,11.7358,11.5664,11.632,10.4955,11.9274,11.9843,11.6497
E07000043 North Devon,4.37136,4.50234,4.84817,5.63885,6.02337,6.95882,7.97047,9.246,10.3037,10.7505,10.9514,10.4868,8.977,9.8183,8.90882,9.03559
E07000042 Mid Devon,4.16433,4.35724,4.40574,4.84509,5.51149,6.94154,7.82854,9.31003,8.46179,10.0588,9.71641,9.3296,7.60935,8.15292,7.82421,8.10755
E07000041 Exeter,3.23844,3.23008,3.3369,3.96369,4.07402,5.27796,6.51886,7.33208,7.24347,7.61161,8.05176,8.05287,7.01205,7.2958,7.34213,7.29318
E07000040 East Devon,5.09443,5.00998,5.54871,6.01077,6.17411,7.63864,9.26123,9.51838,10.023,10.2885,11.1135,11.3447,10.034,11.6427,10.5381,9.80761
E07000039 South Derbyshire,3.02125,3.20494,3.26262,4.50861,4.5787,4.64386,5.90377,5.64738,6.17523,6.07176,6.05177,5.88143,6.0404,6.53644,5.56028,6.01034
E07000038 North East Derbyshire,3.37874,3.42458,3.44263,3.27149,3.24689,3.89026,4.46774,5.65081,5.74949,6.11718,5.57742,5.51069,6.29878,5.60859,5.74949,5.89691
E07000037 High Peak,3.64022,3.68617,3.35117,3.31001,3.81379,4.33572,5.52942,6.77575,6.46585,6.7126,7.39629,6.41541,5.85119,5.40591,5.86212,6.07414
E07000036 Erewash,3.04942,3.00351,2.96655,3.02872,3.18514,3.82026,4.4135,5.51491,5.89928,5.67067,6.42429,5.824,5.32349,5.42011,5.02608,5.16382
E07000035 Derbyshire Dales,4.56007,4.96501,4.57314,4.44388,5.5642,5.64732,6.70624,8.73317,8.90977,9.72461,10.772,9.1284,7.65199,8.38642,8.61124,8.3635
E07000034 Chesterfield,2.68607,2.65461,2.76323,2.84149,3.17562,3.37897,3.97019,4.97132,5.25839,5.43301,5.89473,6.02821,5.13347,4.68772,5.10436,5.1227
E07000033 Bolsover,2.70319,2.77945,2.73458,2.7041,2.82844,2.35718,3.0102,3.80635,4.24271,4.41628,4.58292,4.73188,4.61917,4.53382,4.36298,4.30114
E07000032 Amber Valley,2.97592,2.91556,3.046,3.27714,3.40275,3.73054,4.71314,5.36905,5.67958,5.60379,5.60986,5.40027,5.04895,5.67581,5.20026,4.73256
E07000031 South Lakeland,3.8453,4.24948,4.43073,4.46389,5.03862,5.54425,7.02805,8.63758,9.37815,9.05392,9.55308,9.42251,8.49022,8.69553,9.58967,9.29643
E07000030 Eden,4.09408,4.6125,5.24515,4.99745,5.16087,4.87617,6.82555,8.79967,8.04672,8.19989,8.88341,8.14542,8.94,8.69114,7.69313,7.23268
E07000029 Copeland,1.91208,1.84893,1.98211,1.57712,1.76209,1.71422,1.93703,2.50808,3.07711,3.32328,3.34829,3.1334,2.77496,3.26317,3.04638,2.75899
E07000028 Carlisle,3.01251,3.18625,3.20315,3.17548,2.88341,3.34872,4.14339,4.91757,5.01905,6.15509,5.88171,5.80756,4.9572,5.21796,5.51907,5.22918
E07000027 Barrow-in-Furness,2.02069,2.11313,1.82933,2.10802,1.78122,2.19044,2.44457,2.73785,3.45487,3.68995,3.86424,4.11033,3.67942,3.88426,3.5639,3.05894
